id,class,system,passed,why,latency_s,tokens,cost_usd,laps,stop_reason
1,simple-scale,agent,True,ok,9.95,2336,0.00029,3,completed
2,simple-scale,agent,True,ok,13.74,2465,0.000333,3,completed
3,simple-scale,agent,True,ok,13.33,2380,0.00031,3,completed
4,simple-scale,agent,True,ok,13.52,2334,0.000306,3,completed
5,single-swap,agent,True,ok,18.72,3339,0.000396,4,completed
6,single-swap,agent,True,ok,17.72,3458,0.000464,4,completed
7,allergen-cascade,agent,True,ok,22.17,4425,0.000534,5,completed
8,allergen-cascade,agent,True,ok,22.33,4457,0.000518,5,completed
9,allergen-cascade,agent,True,ok,22.7,4393,0.000535,5,completed
10,allergen-cascade,agent,True,ok,22.47,4437,0.000535,5,completed
1,simple-scale,workflow,True,ok,4.11,153,2.3e-05,5,completed
2,simple-scale,workflow,True,ok,4.45,150,2.2e-05,5,completed
3,simple-scale,workflow,True,ok,4.57,154,2.2e-05,5,completed
4,simple-scale,workflow,True,ok,4.47,158,2.3e-05,5,completed
5,single-swap,workflow,True,ok,4.48,151,2.2e-05,5,completed
6,single-swap,workflow,True,ok,4.57,148,2.1e-05,5,completed
7,allergen-cascade,workflow,True,ok,4.44,161,2.4e-05,5,completed
8,allergen-cascade,workflow,True,ok,4.61,158,2.3e-05,5,completed
9,allergen-cascade,workflow,True,ok,4.43,155,2.3e-05,5,completed
10,allergen-cascade,workflow,True,ok,4.54,167,2.5e-05,5,completed
